"sep=;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
post_name;post_title;post_status;post_content;post_excerpt;post_author;post_parent;post_date;comment_status;ping_status;post_image;ait-items;ait-locations;subtitle;featuredItem;headerImage;headerHeight;address;latitude;longitude;streetview;telephone;telephoneAdditional@number;email;showEmail;contactOwnerBtn;web;webLinkLabel;displayOpeningHours;openingHoursMonday;openingHoursTuesday;openingHoursWednesday;openingHoursThursday;openingHoursFriday;openingHoursSaturday;openingHoursSunday;openingHoursNote;displaySocialIcons;socialIconsOpenInNewWindow;socialIcons@icon;socialIcons@link;displayGallery;gallery@title;gallery@image;displayFeatures;features@icon;features@text;features@desc
meredith-hoffman;Meredith Hoffman;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/2448265313/0rpuou02sz2nzz68t07s_400x400.jpeg;world|journalism|journalist;united-states;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-facebook|fa-linkedin|fa-tumblr;http://twitter.com/merhoffman|https://facebook.com/42727|https://linkedin.com/in/meredith-hoffman-27b47b15|http://meredithhoffman.tumblr.com/;1;;;0;;;
michael-holmes;Michael Holmes;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/852347757/twitter_400x400.jpg;world|journalism|journalist;united-states;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-linkedin|;http://twitter.com/holmescnn|https://linkedin.com/pub/michael-holmes/8/1b4/627;1;;;0;;;
david-honl;David Honl;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://s3.amazonaws.com/media.muckrack.com/profile/images/106747/khazirjpg.256x256_q100_crop-smart.jpg;world|journalism|journalist;afghanistan|middle-east;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-facebook|fa-linkedin|fa-foursquare;http://twitter.com/davidhonl|https://facebook.com/davidhonl|https://linkedin.com/in/david-honl-72622|https://foursquare.com/user/5188351;1;;;0;;;
john-hopewell;John Hopewell;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/1813489661/JohnHopewell_400x400.png;world|journalism|journalist;;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter;http://twitter.com/John_Hopewell;1;;;0;;;
chris-hopkins;Chris Hopkins;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/616340925296447488/hcDcvVEd_400x400.png;world|journalism|journalist;metro-dc|united-states;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-linkedin|;http://twitter.com/chopkinsmedia|https://linkedin.com/in/christopherdeanhopkins;1;;;0;;;
brian-hopman;Brian Hopman;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/1158068021/hopman_headshot_400x400.JPG;world|journalism|journalist;;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-linkedin;http://twitter.com/bhop12|https://linkedin.com/in/brianhopman;1;;;0;;;
leo-hornak;Leo Hornak;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/378800000624137611/5554e1fbfc6cb8d486a8c9c7bcc0dcc3_400x400.jpeg;world|journalism|journalist;united-kingdom;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-linkedin|;http://twitter.com/L_Hornak|https://linkedin.com/in/leo-hornak-ba822;1;;;0;;;
herman-houngbo;Herman Houngbo;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/378800000145433897/aa68171daa529933f2a82c70b1ef6699_400x400.jpeg;world|journalism|journalist;;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|;http://twitter.com/IHoungbo;1;;;0;;;
adam-housley;Adam Housley;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/1912148964/24400017_400x400.jpg;world|journalism|journalist;;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-facebook|fa-linkedin|fa-google-plus|fa-youtube;http://twitter.com/adamhousley|https://facebook.com/adamfoxnews|https://linkedin.com/in/adamhousley|https://flickr.com/people/adamhousley|https://plus.google.com/u//17919316983535534492|https://youtube.com/user/arthuradam;1;;;0;;;
robert-howell;Robert Howell;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/427317820180148224/IexAgDzk_400x400.jpeg;world|journalism|journalist;united-states;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-facebook|fa-linkedin|;http://twitter.com/RobHowellCNN|https://facebook.com/rhowell155|https://linkedin.com/in/robert-howell-199aa11;1;;;0;;;
